,X,Y,ATM/Agence,com_insee,com_nom,Type,Type_détaillé,geometry,0
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11384
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11385
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11510
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11511
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11636
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),11637
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11384
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11385
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11510
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11511
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11636
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),11637
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),8601
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),8602
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),8727
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),8728
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),8601
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),8602
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),8727
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),8728
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11384
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11385
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11510
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11511
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11636
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),11637
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11384
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11385
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11510
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11511
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11636
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,Missing,POINT (2.244317 48.8324274997339),11637
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11384
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11385
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11510
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11511
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11636
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,Missing,POINT (2.2443689 48.8323844997339),11637
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11384
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11385
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11510
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11511
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11636
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),11637
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),12768
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),12769
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),12894
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),12895
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),13020
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),13021
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),12889
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),12890
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),13015
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),13016
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,Missing,POINT (2.3479283 48.8917408997192),13142
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6399491 48.8745199997234),16924
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6399491 48.8745199997234),17049
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6399491 48.8745199997234),17050
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6399491 48.8745199997234),17176
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6395019 48.8740446997236),16924
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6395019 48.8740446997236),17049
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6395019 48.8740446997236),17050
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6395019 48.8740446997236),17176
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6388583 48.8745242997235),16924
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6388583 48.8745242997235),17049
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6388583 48.8745242997235),17050
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,Missing,POINT (2.6388583 48.8745242997235),17176
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20190
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20191
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20316
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20317
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20442
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,Missing,POINT (2.8738904 48.9575410997029),20443
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12265
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12390
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12391
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12516
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12517
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),12643
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12262
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12263
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12388
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12389
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12514
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,Missing,POINT (2.3061606 48.8698841997246),12515
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12265
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12390
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12391
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12516
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12517
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,Missing,POINT (2.3109952 48.8465596997304),12643
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12392
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12517
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12518
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12643
17,2.318274,48.8411920997317,atm,75056,Paris,banque,Missing,POINT (2.318274 48.8411920997317),12644
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),12893
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),12894
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),13019
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),13020
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),13145
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,Missing,POINT (2.3491753 48.8598446997271),13146
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),12893
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),12894
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),13019
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),13020
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),13145
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,Missing,POINT (2.3491801 48.8598530997271),13146
