,X,Y,name,com_insee,com_nom,Type,geometry,0
0,2.64890655066738,48.8557720701838,Cimetière de Torcy,77468,Torcy,cemetery,POINT (2.64890655066738 48.8557720701838),17052
0,2.64890655066738,48.8557720701838,Cimetière de Torcy,77468,Torcy,cemetery,POINT (2.64890655066738 48.8557720701838),17177
0,2.64890655066738,48.8557720701838,Cimetière de Torcy,77468,Torcy,cemetery,POINT (2.64890655066738 48.8557720701838),17178
0,2.64890655066738,48.8557720701838,Cimetière de Torcy,77468,Torcy,cemetery,POINT (2.64890655066738 48.8557720701838),17304
1,2.63298193409295,48.8477128627444,Cimetière de Noisiel,77337,Noisiel,cemetery,POINT (2.63298193409295 48.8477128627444),16801
1,2.63298193409295,48.8477128627444,Cimetière de Noisiel,77337,Noisiel,cemetery,POINT (2.63298193409295 48.8477128627444),16926
1,2.63298193409295,48.8477128627444,Cimetière de Noisiel,77337,Noisiel,cemetery,POINT (2.63298193409295 48.8477128627444),16927
1,2.63298193409295,48.8477128627444,Cimetière de Noisiel,77337,Noisiel,cemetery,POINT (2.63298193409295 48.8477128627444),17052
1,2.63298193409295,48.8477128627444,Cimetière de Noisiel,77337,Noisiel,cemetery,POINT (2.63298193409295 48.8477128627444),17053
2,2.50327324942536,48.8177368815993,Ancien cimetière de Champigny-sur-Marne,94017,Champigny-sur-Marne,cemetery,POINT (2.50327324942536 48.8177368815993),15040
2,2.50327324942536,48.8177368815993,Ancien cimetière de Champigny-sur-Marne,94017,Champigny-sur-Marne,cemetery,POINT (2.50327324942536 48.8177368815993),15166
2,2.50327324942536,48.8177368815993,Ancien cimetière de Champigny-sur-Marne,94017,Champigny-sur-Marne,cemetery,POINT (2.50327324942536 48.8177368815993),15167
2,2.50327324942536,48.8177368815993,Ancien cimetière de Champigny-sur-Marne,94017,Champigny-sur-Marne,cemetery,POINT (2.50327324942536 48.8177368815993),15292
3,2.28508983653594,48.8625307450062,Cimetière de Passy,75056,Paris,cemetery,POINT (2.28508983653594 48.8625307450062),12011
3,2.28508983653594,48.8625307450062,Cimetière de Passy,75056,Paris,cemetery,POINT (2.28508983653594 48.8625307450062),12012
3,2.28508983653594,48.8625307450062,Cimetière de Passy,75056,Paris,cemetery,POINT (2.28508983653594 48.8625307450062),12137
3,2.28508983653594,48.8625307450062,Cimetière de Passy,75056,Paris,cemetery,POINT (2.28508983653594 48.8625307450062),12138
3,2.28508983653594,48.8625307450062,Cimetière de Passy,75056,Paris,cemetery,POINT (2.28508983653594 48.8625307450062),12263
4,2.27976364089938,48.8413242383764,Cimetière de Grenelle,75056,Paris,cemetery,POINT (2.27976364089938 48.8413242383764),11887
4,2.27976364089938,48.8413242383764,Cimetière de Grenelle,75056,Paris,cemetery,POINT (2.27976364089938 48.8413242383764),11888
4,2.27976364089938,48.8413242383764,Cimetière de Grenelle,75056,Paris,cemetery,POINT (2.27976364089938 48.8413242383764),12013
4,2.27976364089938,48.8413242383764,Cimetière de Grenelle,75056,Paris,cemetery,POINT (2.27976364089938 48.8413242383764),12014
4,2.27976364089938,48.8413242383764,Cimetière de Grenelle,75056,Paris,cemetery,POINT (2.27976364089938 48.8413242383764),12139
4,2.27976364089938,48.8413242383764,Cimetière de Grenelle,75056,Paris,cemetery,POINT (2.27976364089938 48.8413242383764),12140
5,2.28463465368892,48.8383623536054,Cimetière de Vaugirard,75056,Paris,cemetery,POINT (2.28463465368892 48.8383623536054),12013
5,2.28463465368892,48.8383623536054,Cimetière de Vaugirard,75056,Paris,cemetery,POINT (2.28463465368892 48.8383623536054),12014
5,2.28463465368892,48.8383623536054,Cimetière de Vaugirard,75056,Paris,cemetery,POINT (2.28463465368892 48.8383623536054),12139
5,2.28463465368892,48.8383623536054,Cimetière de Vaugirard,75056,Paris,cemetery,POINT (2.28463465368892 48.8383623536054),12140
5,2.28463465368892,48.8383623536054,Cimetière de Vaugirard,75056,Paris,cemetery,POINT (2.28463465368892 48.8383623536054),12266
6,2.23886025590812,48.8148111577033,Cimetière des Longs Réages,92048,Meudon,cemetery,POINT (2.23886025590812 48.8148111577033),11386
6,2.23886025590812,48.8148111577033,Cimetière des Longs Réages,92048,Meudon,cemetery,POINT (2.23886025590812 48.8148111577033),11387
6,2.23886025590812,48.8148111577033,Cimetière des Longs Réages,92048,Meudon,cemetery,POINT (2.23886025590812 48.8148111577033),11512
6,2.23886025590812,48.8148111577033,Cimetière des Longs Réages,92048,Meudon,cemetery,POINT (2.23886025590812 48.8148111577033),11513
7,2.63297667853487,48.8399979861978,Cimetière de Lognes,77258,Lognes,cemetery,POINT (2.63297667853487 48.8399979861978),16802
7,2.63297667853487,48.8399979861978,Cimetière de Lognes,77258,Lognes,cemetery,POINT (2.63297667853487 48.8399979861978),16927
7,2.63297667853487,48.8399979861978,Cimetière de Lognes,77258,Lognes,cemetery,POINT (2.63297667853487 48.8399979861978),16928
7,2.63297667853487,48.8399979861978,Cimetière de Lognes,77258,Lognes,cemetery,POINT (2.63297667853487 48.8399979861978),17053
7,2.63297667853487,48.8399979861978,Cimetière de Lognes,77258,Lognes,cemetery,POINT (2.63297667853487 48.8399979861978),17054
8,2.74397682551993,48.9401892240089,Missing,77196,Fresnes-sur-Marne,cemetery,POINT (2.74397682551993 48.9401892240089),18428
8,2.74397682551993,48.9401892240089,Missing,77196,Fresnes-sur-Marne,cemetery,POINT (2.74397682551993 48.9401892240089),18429
8,2.74397682551993,48.9401892240089,Missing,77196,Fresnes-sur-Marne,cemetery,POINT (2.74397682551993 48.9401892240089),18554
8,2.74397682551993,48.9401892240089,Missing,77196,Fresnes-sur-Marne,cemetery,POINT (2.74397682551993 48.9401892240089),18555
9,2.76000045675164,48.8387068587946,Missing,77237,Jossigny,cemetery,POINT (2.76000045675164 48.8387068587946),18566
9,2.76000045675164,48.8387068587946,Missing,77237,Jossigny,cemetery,POINT (2.76000045675164 48.8387068587946),18691
9,2.76000045675164,48.8387068587946,Missing,77237,Jossigny,cemetery,POINT (2.76000045675164 48.8387068587946),18692
9,2.76000045675164,48.8387068587946,Missing,77237,Jossigny,cemetery,POINT (2.76000045675164 48.8387068587946),18817
9,2.76000045675164,48.8387068587946,Missing,77237,Jossigny,cemetery,POINT (2.76000045675164 48.8387068587946),18818
10,1.71587024492946,48.8679081954261,Missing,78475,Osmoy,cemetery,POINT (1.71587024492946 48.8679081954261),3947
10,1.71587024492946,48.8679081954261,Missing,78475,Osmoy,cemetery,POINT (1.71587024492946 48.8679081954261),4072
10,1.71587024492946,48.8679081954261,Missing,78475,Osmoy,cemetery,POINT (1.71587024492946 48.8679081954261),4073
10,1.71587024492946,48.8679081954261,Missing,78475,Osmoy,cemetery,POINT (1.71587024492946 48.8679081954261),4198
10,1.71587024492946,48.8679081954261,Missing,78475,Osmoy,cemetery,POINT (1.71587024492946 48.8679081954261),4199
11,1.675176953365,48.8630576575022,Missing,78505,Prunay-le-Temple,cemetery,POINT (1.675176953365 48.8630576575022),3443
11,1.675176953365,48.8630576575022,Missing,78505,Prunay-le-Temple,cemetery,POINT (1.675176953365 48.8630576575022),3569
11,1.675176953365,48.8630576575022,Missing,78505,Prunay-le-Temple,cemetery,POINT (1.675176953365 48.8630576575022),3570
11,1.675176953365,48.8630576575022,Missing,78505,Prunay-le-Temple,cemetery,POINT (1.675176953365 48.8630576575022),3695
12,1.67476950442908,48.835556971157,Missing,78605,Tacoignières,cemetery,POINT (1.67476950442908 48.835556971157),3446
12,1.67476950442908,48.835556971157,Missing,78605,Tacoignières,cemetery,POINT (1.67476950442908 48.835556971157),3447
12,1.67476950442908,48.835556971157,Missing,78605,Tacoignières,cemetery,POINT (1.67476950442908 48.835556971157),3572
12,1.67476950442908,48.835556971157,Missing,78605,Tacoignières,cemetery,POINT (1.67476950442908 48.835556971157),3573
12,1.67476950442908,48.835556971157,Missing,78605,Tacoignières,cemetery,POINT (1.67476950442908 48.835556971157),3698
13,1.7028094607799,48.8289193289557,Missing,78465,Orgerus,cemetery,POINT (1.7028094607799 48.8289193289557),3825
13,1.7028094607799,48.8289193289557,Missing,78465,Orgerus,cemetery,POINT (1.7028094607799 48.8289193289557),3950
13,1.7028094607799,48.8289193289557,Missing,78465,Orgerus,cemetery,POINT (1.7028094607799 48.8289193289557),3951
13,1.7028094607799,48.8289193289557,Missing,78465,Orgerus,cemetery,POINT (1.7028094607799 48.8289193289557),4077
14,1.74453542064689,48.8522671231429,Cimetière de Flexanville,78236,Flexanville,cemetery,POINT (1.74453542064689 48.8522671231429),4452
