,X,Y,code_insee_commune,gratuit,tarification,accessibilite_pmr,condition_acces,Type,type,Type_détaillé,geometry,0
0,2.605599,49.005535,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6055989265441895 49.00553512573242),16405
0,2.605599,49.005535,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6055989265441895 49.00553512573242),16531
0,2.605599,49.005535,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6055989265441895 49.00553512573242),16532
0,2.605599,49.005535,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6055989265441895 49.00553512573242),16657
0,2.605599,49.005535,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6055989265441895 49.00553512573242),16658
1,2.605668,49.005527,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605668067932129 49.00552749633789),16405
1,2.605668,49.005527,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605668067932129 49.00552749633789),16531
1,2.605668,49.005527,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605668067932129 49.00552749633789),16532
1,2.605668,49.005527,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605668067932129 49.00552749633789),16657
1,2.605668,49.005527,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605668067932129 49.00552749633789),16658
2,2.605737,49.005524,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6057369709014893 49.005523681640625),16405
2,2.605737,49.005524,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6057369709014893 49.005523681640625),16531
2,2.605737,49.005524,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6057369709014893 49.005523681640625),16532
2,2.605737,49.005524,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6057369709014893 49.005523681640625),16657
2,2.605737,49.005524,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6057369709014893 49.005523681640625),16658
3,2.6058059,49.005516,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6058058738708496 49.005516052246094),16405
3,2.6058059,49.005516,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6058058738708496 49.005516052246094),16531
3,2.6058059,49.005516,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6058058738708496 49.005516052246094),16532
3,2.6058059,49.005516,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6058058738708496 49.005516052246094),16657
3,2.6058059,49.005516,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6058058738708496 49.005516052246094),16658
4,2.605875,49.005512,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605875015258789 49.00551223754883),16405
4,2.605875,49.005512,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605875015258789 49.00551223754883),16531
4,2.605875,49.005512,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605875015258789 49.00551223754883),16532
4,2.605875,49.005512,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605875015258789 49.00551223754883),16657
4,2.605875,49.005512,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.605875015258789 49.00551223754883),16658
5,2.605944,49.005505,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6059439182281494 49.0055046081543),16405
5,2.605944,49.005505,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6059439182281494 49.0055046081543),16531
5,2.605944,49.005505,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6059439182281494 49.0055046081543),16532
5,2.605944,49.005505,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6059439182281494 49.0055046081543),16657
5,2.605944,49.005505,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6059439182281494 49.0055046081543),16658
6,2.6060128,49.005497,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6060128211975098 49.005496978759766),16405
6,2.6060128,49.005497,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6060128211975098 49.005496978759766),16531
6,2.6060128,49.005497,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6060128211975098 49.005496978759766),16532
6,2.6060128,49.005497,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6060128211975098 49.005496978759766),16657
6,2.6060128,49.005497,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.6060128211975098 49.005496978759766),16658
7,2.6060817,49.005493,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.60608172416687 49.0054931640625),16405
7,2.6060817,49.005493,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.60608172416687 49.0054931640625),16531
7,2.6060817,49.005493,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.60608172416687 49.0054931640625),16532
7,2.6060817,49.005493,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.60608172416687 49.0054931640625),16657
7,2.6060817,49.005493,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.60608172416687 49.0054931640625),16658
8,2.6061494,49.005486,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606149435043335 49.00548553466797),16405
8,2.6061494,49.005486,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606149435043335 49.00548553466797),16531
8,2.6061494,49.005486,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606149435043335 49.00548553466797),16532
8,2.6061494,49.005486,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606149435043335 49.00548553466797),16657
8,2.6061494,49.005486,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606149435043335 49.00548553466797),16658
9,2.6062176,49.00548,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606217622756958 49.0054817199707),16405
9,2.6062176,49.00548,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606217622756958 49.0054817199707),16531
9,2.6062176,49.00548,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606217622756958 49.0054817199707),16532
9,2.6062176,49.00548,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606217622756958 49.0054817199707),16657
9,2.6062176,49.00548,77294.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.606217622756958 49.0054817199707),16658
10,2.3617172,48.72987,91479.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.3617172241210938 48.7298698425293),13034
10,2.3617172,48.72987,91479.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.3617172241210938 48.7298698425293),13159
10,2.3617172,48.72987,91479.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.3617172241210938 48.7298698425293),13160
10,2.3617172,48.72987,91479.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.3617172241210938 48.7298698425293),13286
11,2.2424984,48.777092,92060.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.2424983978271484 48.77709197998047),11390
11,2.2424984,48.777092,92060.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.2424983978271484 48.77709197998047),11391
11,2.2424984,48.777092,92060.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.2424983978271484 48.77709197998047),11516
11,2.2424984,48.777092,92060.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.2424983978271484 48.77709197998047),11517
11,2.2424984,48.777092,92060.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.2424983978271484 48.77709197998047),11642
11,2.2424984,48.777092,92060.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.2424983978271484 48.77709197998047),11643
12,2.0495796,48.72659,78406.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.049579620361328 48.72658920288086),8624
12,2.0495796,48.72659,78406.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.049579620361328 48.72658920288086),8750
12,2.0495796,48.72659,78406.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.049579620361328 48.72658920288086),8751
12,2.0495796,48.72659,78406.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.049579620361328 48.72658920288086),8876
12,2.0495796,48.72659,78406.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.049579620361328 48.72658920288086),8877
13,2.0193331,48.73318,78561.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0193331241607666 48.73318099975586),8245
13,2.0193331,48.73318,78561.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0193331241607666 48.73318099975586),8246
13,2.0193331,48.73318,78561.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0193331241607666 48.73318099975586),8371
13,2.0193331,48.73318,78561.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0193331241607666 48.73318099975586),8372
