,X,Y,name,brand,operator,fuel_diesel,fuel_95,fuel_98,fuel_e10,fuel_gpl,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
0,2.5287602,49.0937317996691,Station ENGIE Gaz Naturel Véhicule,,ENGIE,,,,,,95580.0,Saint-Witz,fuel,,Station de carburant,POINT (2.5287602 49.0937317996691),15387
0,2.5287602,49.0937317996691,Station ENGIE Gaz Naturel Véhicule,,ENGIE,,,,,,95580.0,Saint-Witz,fuel,,Station de carburant,POINT (2.5287602 49.0937317996691),15388
0,2.5287602,49.0937317996691,Station ENGIE Gaz Naturel Véhicule,,ENGIE,,,,,,95580.0,Saint-Witz,fuel,,Station de carburant,POINT (2.5287602 49.0937317996691),15513
0,2.5287602,49.0937317996691,Station ENGIE Gaz Naturel Véhicule,,ENGIE,,,,,,95580.0,Saint-Witz,fuel,,Station de carburant,POINT (2.5287602 49.0937317996691),15514
0,2.5287602,49.0937317996691,Station ENGIE Gaz Naturel Véhicule,,ENGIE,,,,,,95580.0,Saint-Witz,fuel,,Station de carburant,POINT (2.5287602 49.0937317996691),15639
1,2.8644881,48.8975198997177,Station de Quincy,,,yes,yes,yes,,,77382.0,Quincy-Voisins,fuel,,Station de carburant,POINT (2.8644881 48.8975198997177),20071
1,2.8644881,48.8975198997177,Station de Quincy,,,yes,yes,yes,,,77382.0,Quincy-Voisins,fuel,,Station de carburant,POINT (2.8644881 48.8975198997177),20197
1,2.8644881,48.8975198997177,Station de Quincy,,,yes,yes,yes,,,77382.0,Quincy-Voisins,fuel,,Station de carburant,POINT (2.8644881 48.8975198997177),20198
1,2.8644881,48.8975198997177,Station de Quincy,,,yes,yes,yes,,,77382.0,Quincy-Voisins,fuel,,Station de carburant,POINT (2.8644881 48.8975198997177),20323
1,2.8644881,48.8975198997177,Station de Quincy,,,yes,yes,yes,,,77382.0,Quincy-Voisins,fuel,,Station de carburant,POINT (2.8644881 48.8975198997177),20324
2,2.120353,48.8187378997373,,,Sarl sodical,yes,yes,,yes,,78158.0,Le Chesnay-Rocquencourt,fuel,,Station de carburant,POINT (2.120353 48.8187378997373),9622
2,2.120353,48.8187378997373,,,Sarl sodical,yes,yes,,yes,,78158.0,Le Chesnay-Rocquencourt,fuel,,Station de carburant,POINT (2.120353 48.8187378997373),9748
2,2.120353,48.8187378997373,,,Sarl sodical,yes,yes,,yes,,78158.0,Le Chesnay-Rocquencourt,fuel,,Station de carburant,POINT (2.120353 48.8187378997373),9749
2,2.120353,48.8187378997373,,,Sarl sodical,yes,yes,,yes,,78158.0,Le Chesnay-Rocquencourt,fuel,,Station de carburant,POINT (2.120353 48.8187378997373),9874
3,2.2311002,48.8397286997321,Total,Total,,yes,,yes,yes,,92012.0,Boulogne-Billancourt,fuel,,Station de carburant,POINT (2.2311002 48.8397286997321),11257
3,2.2311002,48.8397286997321,Total,Total,,yes,,yes,yes,,92012.0,Boulogne-Billancourt,fuel,,Station de carburant,POINT (2.2311002 48.8397286997321),11258
3,2.2311002,48.8397286997321,Total,Total,,yes,,yes,yes,,92012.0,Boulogne-Billancourt,fuel,,Station de carburant,POINT (2.2311002 48.8397286997321),11383
3,2.2311002,48.8397286997321,Total,Total,,yes,,yes,yes,,92012.0,Boulogne-Billancourt,fuel,,Station de carburant,POINT (2.2311002 48.8397286997321),11384
3,2.2311002,48.8397286997321,Total,Total,,yes,,yes,yes,,92012.0,Boulogne-Billancourt,fuel,,Station de carburant,POINT (2.2311002 48.8397286997321),11510
4,2.6235698,48.7970338997427,,Total,,yes,yes,yes,yes,yes,77373.0,Pontault-Combault,fuel,,Station de carburant,POINT (2.6235698 48.7970338997427),16680
4,2.6235698,48.7970338997427,,Total,,yes,yes,yes,yes,yes,77373.0,Pontault-Combault,fuel,,Station de carburant,POINT (2.6235698 48.7970338997427),16806
4,2.6235698,48.7970338997427,,Total,,yes,yes,yes,yes,yes,77373.0,Pontault-Combault,fuel,,Station de carburant,POINT (2.6235698 48.7970338997427),16807
4,2.6235698,48.7970338997427,,Total,,yes,yes,yes,yes,yes,77373.0,Pontault-Combault,fuel,,Station de carburant,POINT (2.6235698 48.7970338997427),16932
4,2.6235698,48.7970338997427,,Total,,yes,yes,yes,yes,yes,77373.0,Pontault-Combault,fuel,,Station de carburant,POINT (2.6235698 48.7970338997427),16933
5,2.5775291,48.8429823997313,Esso Express,Esso Express,Esso,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5775291 48.8429823997313),16045
5,2.5775291,48.8429823997313,Esso Express,Esso Express,Esso,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5775291 48.8429823997313),16171
5,2.5775291,48.8429823997313,Esso Express,Esso Express,Esso,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5775291 48.8429823997313),16172
5,2.5775291,48.8429823997313,Esso Express,Esso Express,Esso,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5775291 48.8429823997313),16297
5,2.5775291,48.8429823997313,Esso Express,Esso Express,Esso,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5775291 48.8429823997313),16298
6,1.827116,48.9877582996954,,Super U,Super U,yes,,yes,yes,,78327.0,Juziers,fuel,,Station de carburant,POINT (1.827116 48.9877582996954),5571
6,1.827116,48.9877582996954,,Super U,Super U,yes,,yes,yes,,78327.0,Juziers,fuel,,Station de carburant,POINT (1.827116 48.9877582996954),5572
6,1.827116,48.9877582996954,,Super U,Super U,yes,,yes,yes,,78327.0,Juziers,fuel,,Station de carburant,POINT (1.827116 48.9877582996954),5697
6,1.827116,48.9877582996954,,Super U,Super U,yes,,yes,yes,,78327.0,Juziers,fuel,,Station de carburant,POINT (1.827116 48.9877582996954),5698
6,1.827116,48.9877582996954,,Super U,Super U,yes,,yes,yes,,78327.0,Juziers,fuel,,Station de carburant,POINT (1.827116 48.9877582996954),5823
7,1.7426437,48.9838159996963,,AS24,AS24,,,,,,78335.0,Limay,fuel,,Station de carburant,POINT (1.7426437 48.9838159996963),4312
7,1.7426437,48.9838159996963,,AS24,AS24,,,,,,78335.0,Limay,fuel,,Station de carburant,POINT (1.7426437 48.9838159996963),4437
7,1.7426437,48.9838159996963,,AS24,AS24,,,,,,78335.0,Limay,fuel,,Station de carburant,POINT (1.7426437 48.9838159996963),4438
7,1.7426437,48.9838159996963,,AS24,AS24,,,,,,78335.0,Limay,fuel,,Station de carburant,POINT (1.7426437 48.9838159996963),4563
7,1.7426437,48.9838159996963,,AS24,AS24,,,,,,78335.0,Limay,fuel,,Station de carburant,POINT (1.7426437 48.9838159996963),4564
8,2.5718638,48.9470236997055,station carburant Carrefour Market,Carrefour,,yes,yes,,yes,,93073.0,Tremblay-en-France,fuel,,Station de carburant,POINT (2.5718638 48.9470236997055),16033
8,2.5718638,48.9470236997055,station carburant Carrefour Market,Carrefour,,yes,yes,,yes,,93073.0,Tremblay-en-France,fuel,,Station de carburant,POINT (2.5718638 48.9470236997055),16034
8,2.5718638,48.9470236997055,station carburant Carrefour Market,Carrefour,,yes,yes,,yes,,93073.0,Tremblay-en-France,fuel,,Station de carburant,POINT (2.5718638 48.9470236997055),16159
8,2.5718638,48.9470236997055,station carburant Carrefour Market,Carrefour,,yes,yes,,yes,,93073.0,Tremblay-en-France,fuel,,Station de carburant,POINT (2.5718638 48.9470236997055),16160
9,2.5475313,48.8381242997325,Total,Total,Total,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5475313 48.8381242997325),15668
9,2.5475313,48.8381242997325,Total,Total,Total,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5475313 48.8381242997325),15793
9,2.5475313,48.8381242997325,Total,Total,Total,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5475313 48.8381242997325),15794
9,2.5475313,48.8381242997325,Total,Total,Total,yes,,yes,yes,,93051.0,Noisy-le-Grand,fuel,,Station de carburant,POINT (2.5475313 48.8381242997325),15920
10,1.6323121,48.9923052996942,,Shell,,yes,,yes,yes,,78531.0,Rosny-sur-Seine,fuel,,Station de carburant,POINT (1.6323121 48.9923052996942),2798
10,1.6323121,48.9923052996942,,Shell,,yes,,yes,yes,,78531.0,Rosny-sur-Seine,fuel,,Station de carburant,POINT (1.6323121 48.9923052996942),2799
10,1.6323121,48.9923052996942,,Shell,,yes,,yes,yes,,78531.0,Rosny-sur-Seine,fuel,,Station de carburant,POINT (1.6323121 48.9923052996942),2924
10,1.6323121,48.9923052996942,,Shell,,yes,,yes,yes,,78531.0,Rosny-sur-Seine,fuel,,Station de carburant,POINT (1.6323121 48.9923052996942),2925
10,1.6323121,48.9923052996942,,Shell,,yes,,yes,yes,,78531.0,Rosny-sur-Seine,fuel,,Station de carburant,POINT (1.6323121 48.9923052996942),3050
10,1.6323121,48.9923052996942,,Shell,,yes,,yes,yes,,78531.0,Rosny-sur-Seine,fuel,,Station de carburant,POINT (1.6323121 48.9923052996942),3051
11,1.8997784,49.0107419996897,Casino,Casino,,yes,,yes,yes,,78299.0,Hardricourt,fuel,,Station de carburant,POINT (1.8997784 49.0107419996897),6576
11,1.8997784,49.0107419996897,Casino,Casino,,yes,,yes,yes,,78299.0,Hardricourt,fuel,,Station de carburant,POINT (1.8997784 49.0107419996897),6577
11,1.8997784,49.0107419996897,Casino,Casino,,yes,,yes,yes,,78299.0,Hardricourt,fuel,,Station de carburant,POINT (1.8997784 49.0107419996897),6702
11,1.8997784,49.0107419996897,Casino,Casino,,yes,,yes,yes,,78299.0,Hardricourt,fuel,,Station de carburant,POINT (1.8997784 49.0107419996897),6703
11,1.8997784,49.0107419996897,Casino,Casino,,yes,,yes,yes,,78299.0,Hardricourt,fuel,,Station de carburant,POINT (1.8997784 49.0107419996897),6829
12,2.2856237,48.7970147997427,,BP,,yes,,yes,yes,,92020.0,Châtillon,fuel,,Station de carburant,POINT (2.2856237 48.7970147997427),12018
12,2.2856237,48.7970147997427,,BP,,yes,,yes,yes,,92020.0,Châtillon,fuel,,Station de carburant,POINT (2.2856237 48.7970147997427),12019
12,2.2856237,48.7970147997427,,BP,,yes,,yes,yes,,92020.0,Châtillon,fuel,,Station de carburant,POINT (2.2856237 48.7970147997427),12144
12,2.2856237,48.7970147997427,,BP,,yes,,yes,yes,,92020.0,Châtillon,fuel,,Station de carburant,POINT (2.2856237 48.7970147997427),12145
12,2.2856237,48.7970147997427,,BP,,yes,,yes,yes,,92020.0,Châtillon,fuel,,Station de carburant,POINT (2.2856237 48.7970147997427),12270
13,1.757037,48.9903974996947,,Carrefour,,yes,yes,yes,yes,,78335.0,Limay,fuel,,Station de carburant,POINT (1.757037 48.9903974996947),4563
13,1.757037,48.9903974996947,,Carrefour,,yes,yes,yes,yes,,78335.0,Limay,fuel,,Station de carburant,POINT (1.757037 48.9903974996947),4688
13,1.757037,48.9903974996947,,Carrefour,,yes,yes,yes,yes,,78335.0,Limay,fuel,,Station de carburant,POINT (1.757037 48.9903974996947),4689
13,1.757037,48.9903974996947,,Carrefour,,yes,yes,yes,yes,,78335.0,Limay,fuel,,Station de carburant,POINT (1.757037 48.9903974996947),4815
14,2.2891864,48.9907256996946,Auto Services de Soisy,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2891864 48.9907256996946),11997
14,2.2891864,48.9907256996946,Auto Services de Soisy,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2891864 48.9907256996946),12122
14,2.2891864,48.9907256996946,Auto Services de Soisy,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2891864 48.9907256996946),12123
14,2.2891864,48.9907256996946,Auto Services de Soisy,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2891864 48.9907256996946),12249
15,2.2959909,48.9870621996955,Total,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2959909 48.9870621996955),12123
15,2.2959909,48.9870621996955,Total,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2959909 48.9870621996955),12124
15,2.2959909,48.9870621996955,Total,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2959909 48.9870621996955),12249
15,2.2959909,48.9870621996955,Total,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2959909 48.9870621996955),12250
15,2.2959909,48.9870621996955,Total,Total,,yes,,yes,yes,,95598.0,Soisy-sous-Montmorency,fuel,,Station de carburant,POINT (2.2959909 48.9870621996955),12375
16,1.9092547,49.0126420996892,Auchan,Auchan,Auchan,yes,,yes,yes,,78609.0,Tessancourt-sur-Aubette,fuel,,Station de carburant,POINT (1.9092547 49.0126420996892),6702
16,1.9092547,49.0126420996892,Auchan,Auchan,Auchan,yes,,yes,yes,,78609.0,Tessancourt-sur-Aubette,fuel,,Station de carburant,POINT (1.9092547 49.0126420996892),6703
16,1.9092547,49.0126420996892,Auchan,Auchan,Auchan,yes,,yes,yes,,78609.0,Tessancourt-sur-Aubette,fuel,,Station de carburant,POINT (1.9092547 49.0126420996892),6828
16,1.9092547,49.0126420996892,Auchan,Auchan,Auchan,yes,,yes,yes,,78609.0,Tessancourt-sur-Aubette,fuel,,Station de carburant,POINT (1.9092547 49.0126420996892),6829
