,Unnamed: 0,Unnamed: 0.1,X,Y,name,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
0,0,0,2.2423757,48.8346210997333,hôtel campanile,92012.0,boulogne-billancourt,hosting,hotel,Hôtel,POINT (2.2423757 48.8346210997333),11384
1,1,0,2.2423757,48.8346210997333,hôtel campanile,92012.0,boulogne-billancourt,hosting,hotel,Hôtel,POINT (2.2423757 48.8346210997333),11385
2,2,0,2.2423757,48.8346210997333,hôtel campanile,92012.0,boulogne-billancourt,hosting,hotel,Hôtel,POINT (2.2423757 48.8346210997333),11510
3,3,0,2.2423757,48.8346210997333,hôtel campanile,92012.0,boulogne-billancourt,hosting,hotel,Hôtel,POINT (2.2423757 48.8346210997333),11511
4,4,0,2.2423757,48.8346210997333,hôtel campanile,92012.0,boulogne-billancourt,hosting,hotel,Hôtel,POINT (2.2423757 48.8346210997333),11636
5,5,1,2.2580125,48.9030519997164,pizza mido,92026.0,courbevoie,hosting,hotel,Hôtel,POINT (2.2580125 48.9030519997164),11628
6,6,1,2.2580125,48.9030519997164,pizza mido,92026.0,courbevoie,hosting,hotel,Hôtel,POINT (2.2580125 48.9030519997164),11629
7,7,1,2.2580125,48.9030519997164,pizza mido,92026.0,courbevoie,hosting,hotel,Hôtel,POINT (2.2580125 48.9030519997164),11754
8,8,1,2.2580125,48.9030519997164,pizza mido,92026.0,courbevoie,hosting,hotel,Hôtel,POINT (2.2580125 48.9030519997164),11755
9,9,1,2.2580125,48.9030519997164,pizza mido,92026.0,courbevoie,hosting,hotel,Hôtel,POINT (2.2580125 48.9030519997164),11881
10,10,2,2.2585104,48.8379510997325,holiday inn garden court : paris-auteuil,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2585104 48.8379510997325),11635
11,11,2,2.2585104,48.8379510997325,holiday inn garden court : paris-auteuil,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2585104 48.8379510997325),11636
12,12,2,2.2585104,48.8379510997325,holiday inn garden court : paris-auteuil,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2585104 48.8379510997325),11761
13,13,2,2.2585104,48.8379510997325,holiday inn garden court : paris-auteuil,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2585104 48.8379510997325),11762
14,14,2,2.2585104,48.8379510997325,holiday inn garden court : paris-auteuil,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2585104 48.8379510997325),11888
15,15,3,2.362907,48.9236432997113,suite novotel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.362907 48.9236432997113),13012
16,16,3,2.362907,48.9236432997113,suite novotel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.362907 48.9236432997113),13138
17,17,3,2.362907,48.9236432997113,suite novotel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.362907 48.9236432997113),13139
18,18,3,2.362907,48.9236432997113,suite novotel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.362907 48.9236432997113),13264
19,19,3,2.362907,48.9236432997113,suite novotel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.362907 48.9236432997113),13265
