,Unnamed: 0,X,Y,com_insee,com_nom,Type,connexion_type,Type_détaillé,geometry,0
0,0,2.2624319,48.8985966997175,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2624319 48.8985966997175),11629
1,0,2.2624319,48.8985966997175,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2624319 48.8985966997175),11755
2,0,2.2624319,48.8985966997175,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2624319 48.8985966997175),11756
3,0,2.2624319,48.8985966997175,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2624319 48.8985966997175),11881
4,1,2.3358712,48.824056999736,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3358712 48.824056999736),12645
5,1,2.3358712,48.824056999736,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3358712 48.824056999736),12771
6,1,2.3358712,48.824056999736,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3358712 48.824056999736),12772
7,1,2.3358712,48.824056999736,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3358712 48.824056999736),12897
8,1,2.3358712,48.824056999736,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3358712 48.824056999736),12898
9,2,2.283845,48.8567632997278,75056.0,paris,internet_access,wlan,Wifi,POINT (2.283845 48.8567632997278),12011
10,2,2.283845,48.8567632997278,75056.0,paris,internet_access,wlan,Wifi,POINT (2.283845 48.8567632997278),12012
11,2,2.283845,48.8567632997278,75056.0,paris,internet_access,wlan,Wifi,POINT (2.283845 48.8567632997278),12137
12,2,2.283845,48.8567632997278,75056.0,paris,internet_access,wlan,Wifi,POINT (2.283845 48.8567632997278),12138
13,3,2.1960838,48.8955106997182,92050.0,nanterre,internet_access,terminal,Connection par câble,POINT (2.1960838 48.8955106997182),10747
14,3,2.1960838,48.8955106997182,92050.0,nanterre,internet_access,terminal,Connection par câble,POINT (2.1960838 48.8955106997182),10748
15,3,2.1960838,48.8955106997182,92050.0,nanterre,internet_access,terminal,Connection par câble,POINT (2.1960838 48.8955106997182),10873
16,3,2.1960838,48.8955106997182,92050.0,nanterre,internet_access,terminal,Connection par câble,POINT (2.1960838 48.8955106997182),10874
17,3,2.1960838,48.8955106997182,92050.0,nanterre,internet_access,terminal,Connection par câble,POINT (2.1960838 48.8955106997182),10999
18,3,2.1960838,48.8955106997182,92050.0,nanterre,internet_access,terminal,Connection par câble,POINT (2.1960838 48.8955106997182),11000
19,4,2.240924,48.7298484997593,91377.0,massy,internet_access,wlan,Wifi,POINT (2.240924 48.7298484997593),11396
20,4,2.240924,48.7298484997593,91377.0,massy,internet_access,wlan,Wifi,POINT (2.240924 48.7298484997593),11521
21,4,2.240924,48.7298484997593,91377.0,massy,internet_access,wlan,Wifi,POINT (2.240924 48.7298484997593),11522
22,4,2.240924,48.7298484997593,91377.0,massy,internet_access,wlan,Wifi,POINT (2.240924 48.7298484997593),11648
23,5,2.3954641,48.8495058997296,75056.0,paris,internet_access,yes,Autre,POINT (2.3954641 48.8495058997296),13524
24,5,2.3954641,48.8495058997296,75056.0,paris,internet_access,yes,Autre,POINT (2.3954641 48.8495058997296),13525
25,5,2.3954641,48.8495058997296,75056.0,paris,internet_access,yes,Autre,POINT (2.3954641 48.8495058997296),13650
26,5,2.3954641,48.8495058997296,75056.0,paris,internet_access,yes,Autre,POINT (2.3954641 48.8495058997296),13651
27,5,2.3954641,48.8495058997296,75056.0,paris,internet_access,yes,Autre,POINT (2.3954641 48.8495058997296),13776
28,5,2.3954641,48.8495058997296,75056.0,paris,internet_access,yes,Autre,POINT (2.3954641 48.8495058997296),13777
29,6,2.3447374,48.8624221997264,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3447374 48.8624221997264),12767
30,6,2.3447374,48.8624221997264,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3447374 48.8624221997264),12893
