,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
0,2.2897403,48.8216368997366,Médiathèque,92075,Vanves,library,Médiathèque,POINT (2.2897403 48.8216368997366),12016
0,2.2897403,48.8216368997366,Médiathèque,92075,Vanves,library,Médiathèque,POINT (2.2897403 48.8216368997366),12141
0,2.2897403,48.8216368997366,Médiathèque,92075,Vanves,library,Médiathèque,POINT (2.2897403 48.8216368997366),12142
0,2.2897403,48.8216368997366,Médiathèque,92075,Vanves,library,Médiathèque,POINT (2.2897403 48.8216368997366),12267
0,2.2897403,48.8216368997366,Médiathèque,92075,Vanves,library,Médiathèque,POINT (2.2897403 48.8216368997366),12268
1,3.0632175,49.0916381996697,Missing,77148,Crouy-sur-Ourcq,library,Dépôt à livres,POINT (3.0632175 49.0916381996697),22821
1,3.0632175,49.0916381996697,Missing,77148,Crouy-sur-Ourcq,library,Dépôt à livres,POINT (3.0632175 49.0916381996697),22822
1,3.0632175,49.0916381996697,Missing,77148,Crouy-sur-Ourcq,library,Dépôt à livres,POINT (3.0632175 49.0916381996697),22947
1,3.0632175,49.0916381996697,Missing,77148,Crouy-sur-Ourcq,library,Dépôt à livres,POINT (3.0632175 49.0916381996697),22948
1,3.0632175,49.0916381996697,Missing,77148,Crouy-sur-Ourcq,library,Dépôt à livres,POINT (3.0632175 49.0916381996697),23073
1,3.0632175,49.0916381996697,Missing,77148,Crouy-sur-Ourcq,library,Dépôt à livres,POINT (3.0632175 49.0916381996697),23074
2,2.4466064,48.9850050996961,Médiathèque,95277,Gonesse,library,Médiathèque,POINT (2.4466064 48.9850050996961),14265
2,2.4466064,48.9850050996961,Médiathèque,95277,Gonesse,library,Médiathèque,POINT (2.4466064 48.9850050996961),14266
2,2.4466064,48.9850050996961,Médiathèque,95277,Gonesse,library,Médiathèque,POINT (2.4466064 48.9850050996961),14391
2,2.4466064,48.9850050996961,Médiathèque,95277,Gonesse,library,Médiathèque,POINT (2.4466064 48.9850050996961),14392
3,2.3682839,49.1168385996634,Missing,95652,Viarmes,library,Dépôt à livres,POINT (2.3682839 49.1168385996634),13117
3,2.3682839,49.1168385996634,Missing,95652,Viarmes,library,Dépôt à livres,POINT (2.3682839 49.1168385996634),13242
3,2.3682839,49.1168385996634,Missing,95652,Viarmes,library,Dépôt à livres,POINT (2.3682839 49.1168385996634),13243
3,2.3682839,49.1168385996634,Missing,95652,Viarmes,library,Dépôt à livres,POINT (2.3682839 49.1168385996634),13369
4,2.1712497,48.5648555998002,Missing,91105,Breuillet,library,Dépôt à livres,POINT (2.1712497 48.5648555998002),10406
4,2.1712497,48.5648555998002,Missing,91105,Breuillet,library,Dépôt à livres,POINT (2.1712497 48.5648555998002),10407
4,2.1712497,48.5648555998002,Missing,91105,Breuillet,library,Dépôt à livres,POINT (2.1712497 48.5648555998002),10532
4,2.1712497,48.5648555998002,Missing,91105,Breuillet,library,Dépôt à livres,POINT (2.1712497 48.5648555998002),10533
4,2.1712497,48.5648555998002,Missing,91105,Breuillet,library,Dépôt à livres,POINT (2.1712497 48.5648555998002),10658
