,X,Y,name,operator,wheelchair,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
0,2.3250525,48.8670245997253,cour des comptes,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3250525 48.8670245997253),12514
0,2.3250525,48.8670245997253,cour des comptes,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3250525 48.8670245997253),12515
0,2.3250525,48.8670245997253,cour des comptes,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3250525 48.8670245997253),12640
0,2.3250525,48.8670245997253,cour des comptes,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3250525 48.8670245997253),12641
0,2.3250525,48.8670245997253,cour des comptes,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3250525 48.8670245997253),12766
0,2.3250525,48.8670245997253,cour des comptes,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3250525 48.8670245997253),12767
1,2.3333655,48.8751728997233,maison départementale des personnes handicapées,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3333655 48.8751728997233),12639
1,2.3333655,48.8751728997233,maison départementale des personnes handicapées,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3333655 48.8751728997233),12640
1,2.3333655,48.8751728997233,maison départementale des personnes handicapées,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3333655 48.8751728997233),12765
1,2.3333655,48.8751728997233,maison départementale des personnes handicapées,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3333655 48.8751728997233),12766
1,2.3333655,48.8751728997233,maison départementale des personnes handicapées,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3333655 48.8751728997233),12891
1,2.3333655,48.8751728997233,maison départementale des personnes handicapées,Missing,Missing,75056.0,paris,public_service,government,Organisme gouvernemental,POINT (2.3333655 48.8751728997233),12892
2,2.5413882,48.827867299735,trésor public,Missing,Missing,94079.0,villiers-sur-marne,public_service,government,Organisme gouvernemental,POINT (2.5413882 48.827867299735),15543
2,2.5413882,48.827867299735,trésor public,Missing,Missing,94079.0,villiers-sur-marne,public_service,government,Organisme gouvernemental,POINT (2.5413882 48.827867299735),15669
2,2.5413882,48.827867299735,trésor public,Missing,Missing,94079.0,villiers-sur-marne,public_service,government,Organisme gouvernemental,POINT (2.5413882 48.827867299735),15670
