,X,Y,nom,emplacements,com_insee,com_nom,Type,Type_détaillé,geometry,0
0,48.857735,2.3473518,Châtelet,,,,taxi,Taxi,POINT (48.85773468017578 2.3473517894744873),
1,48.837063,2.352284,Gobelins,,,,taxi,Taxi,POINT (48.83706283569336 2.3522839546203613),
2,48.8778,2.381247,Buttes Chaumont - Botzaris,,,,taxi,Taxi,POINT (48.87779998779297 2.381247043609619),
3,48.879765,2.3896246,Buttes-Chaumont - Botzaris,,,,taxi,Taxi,POINT (48.879764556884766 2.38962459564209),
4,48.88497,2.3694525,Flandre Stalingrad,,,,taxi,Taxi,POINT (48.884971618652344 2.369452476501465),
5,48.882736,2.3814654,Mairie du 19e,,,,taxi,Taxi,POINT (48.88273620605469 2.381465435028076),
6,48.877613,2.3709126,Place du Colonel Fabien,,,,taxi,Taxi,POINT (48.87761306762695 2.370912551879883),
7,48.898785,2.3864944,,,,,taxi,Taxi,POINT (48.89878463745117 2.3864943981170654),
8,48.864483,2.398224,Mairie du 20ème - Gambetta,,,,taxi,Taxi,POINT (48.86448287963867 2.398224115371704),
9,48.850174,2.34854,Maubert Mutualité,,,,taxi,Taxi,POINT (48.85017395019531 2.3485400676727295),
10,48.87397,2.3857925,Belleville-Pyrénées,,,,taxi,Taxi,POINT (48.87397003173828 2.3857924938201904),
11,48.86691,2.3833158,Ménilmontant-Belleville,,,,taxi,Taxi,POINT (48.86690902709961 2.3833158016204834),
12,48.864204,2.4090507,Porte de Bagnolet,,,,taxi,Taxi,POINT (48.86420440673828 2.409050703048706),
13,48.853737,2.411311,Porte de Montreuil,,,,taxi,Taxi,POINT (48.853736877441406 2.411310911178589),
14,48.830856,2.3770163,Bibliothèque François Mitterrand,,,,taxi,Taxi,POINT (48.83085632324219 2.377016305923462),
15,48.85673,2.3537614,Hôtel de Ville,,,,taxi,Taxi,POINT (48.85673141479492 2.3537614345550537),
16,48.84733,2.341296,Panthéon,,,,taxi,Taxi,POINT (48.847328186035156 2.3412959575653076),
17,48.867924,2.364695,République Temple,,,,taxi,Taxi,POINT (48.867923736572266 2.3646950721740723),
