,X,Y,name,access,changing_table,wheelchair,drinking_water,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
0,2.3584682,48.8281909997349,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3584682 48.8281909997349),13023
0,2.3584682,48.8281909997349,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3584682 48.8281909997349),13148
0,2.3584682,48.8281909997349,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3584682 48.8281909997349),13149
0,2.3584682,48.8281909997349,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3584682 48.8281909997349),13275
1,2.3652192,48.8293079997346,Missing,yes,Missing,yes,Missing,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3652192 48.8293079997346),13148
1,2.3652192,48.8293079997346,Missing,yes,Missing,yes,Missing,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3652192 48.8293079997346),13149
1,2.3652192,48.8293079997346,Missing,yes,Missing,yes,Missing,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3652192 48.8293079997346),13274
1,2.3652192,48.8293079997346,Missing,yes,Missing,yes,Missing,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3652192 48.8293079997346),13275
1,2.3652192,48.8293079997346,Missing,yes,Missing,yes,Missing,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3652192 48.8293079997346),13401
2,2.30505,48.6912127997689,Missing,Missing,Missing,Missing,Missing,91345.0,longjumeau,toilets,toilettes_publiques,Missing,POINT (2.30505 48.6912127997689),12282
2,2.30505,48.6912127997689,Missing,Missing,Missing,Missing,Missing,91345.0,longjumeau,toilets,toilettes_publiques,Missing,POINT (2.30505 48.6912127997689),12283
2,2.30505,48.6912127997689,Missing,Missing,Missing,Missing,Missing,91345.0,longjumeau,toilets,toilettes_publiques,Missing,POINT (2.30505 48.6912127997689),12408
2,2.30505,48.6912127997689,Missing,Missing,Missing,Missing,Missing,91345.0,longjumeau,toilets,toilettes_publiques,Missing,POINT (2.30505 48.6912127997689),12409
2,2.30505,48.6912127997689,Missing,Missing,Missing,Missing,Missing,91345.0,longjumeau,toilets,toilettes_publiques,Missing,POINT (2.30505 48.6912127997689),12534
3,2.1253022,48.553268099803,Missing,Missing,Missing,Missing,Missing,91540.0,saint-chéron,toilets,toilettes_publiques,Missing,POINT (2.1253022 48.553268099803),9777
3,2.1253022,48.553268099803,Missing,Missing,Missing,Missing,Missing,91540.0,saint-chéron,toilets,toilettes_publiques,Missing,POINT (2.1253022 48.553268099803),9778
3,2.1253022,48.553268099803,Missing,Missing,Missing,Missing,Missing,91540.0,saint-chéron,toilets,toilettes_publiques,Missing,POINT (2.1253022 48.553268099803),9903
3,2.1253022,48.553268099803,Missing,Missing,Missing,Missing,Missing,91540.0,saint-chéron,toilets,toilettes_publiques,Missing,POINT (2.1253022 48.553268099803),9904
3,2.1253022,48.553268099803,Missing,Missing,Missing,Missing,Missing,91540.0,saint-chéron,toilets,toilettes_publiques,Missing,POINT (2.1253022 48.553268099803),10029
3,2.1253022,48.553268099803,Missing,Missing,Missing,Missing,Missing,91540.0,saint-chéron,toilets,toilettes_publiques,Missing,POINT (2.1253022 48.553268099803),10030
4,2.31952,48.8322442997339,Missing,permissive,no,no,Missing,75056.0,paris,toilets,toilettes_publiques,Missing,POINT (2.31952 48.8322442997339),12518
4,2.31952,48.8322442997339,Missing,permissive,no,no,Missing,75056.0,paris,toilets,toilettes_publiques,Missing,POINT (2.31952 48.8322442997339),12519
4,2.31952,48.8322442997339,Missing,permissive,no,no,Missing,75056.0,paris,toilets,toilettes_publiques,Missing,POINT (2.31952 48.8322442997339),12644
4,2.31952,48.8322442997339,Missing,permissive,no,no,Missing,75056.0,paris,toilets,toilettes_publiques,Missing,POINT (2.31952 48.8322442997339),12645
5,2.3434249,48.8502814997294,café maa,customers,Missing,yes,Missing,75056.0,paris,toilets,toilettes_erp,Missing,POINT (2.3434249 48.8502814997294),12768
